,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,参考相場,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
0,,米ドル,英ポンド,ユーロ,カナダドル,スイスフラン,スウェーデンクローネ,デンマーククローネ,ノルウェークローネ,オーストラリアドル,ニュージーランドドル,南アフリカランド,バーレーンディナール,インドネシアルピア,中国人民元,香港ドル,インドルピー,マレーシアリンギ,フィリピンペソ,シンガポールドル,韓国ウォン,タイバーツ,クウェートディナール,サウジアラビアリアル,UAEディルハム,メキシコペソ,パプアニューギニアキナ,ハンガリーフォリント,チェココロナ,ポーランドズロチ,トルコリラ,,インドネシアルピア,中国人民元,マレーシアリンギ,韓国ウォン,台湾ドル,ロシアルーブル
1,,USD,GBP,EUR,CAD,CHF,SEK,DKK,NOK,AUD,NZD,ZAR,BHD,IDR(100),CNY,HKD,INR,MYR,PHP,SGD,KRW(100),THB,KWD,SAR,AED,MXN,PGK,HUF,CZK,PLN,TRY,,IDR(100),CNY,MYR,KRW(100),TWD,RUB
2,2022/11/1,148.78,170.81,147.04,109.26,148.51,13.5,19.75,14.31,95.22,86.71,8.11,394.75,*****,20.28,18.95,1.8,*****,2.56,105.13,*****,3.91,480.71,39.61,40.51,7.52,43.52,0.36,6.0,31.2,7.98,,0.95,*****,31.45,10.42,4.61,2.41
3,2022/11/2,147.63,169.77,145.9,108.39,147.78,13.41,19.6,14.28,94.34,86.26,8.12,391.49,*****,20.21,18.81,1.79,*****,2.54,104.41,*****,3.91,476.53,39.29,40.19,7.49,43.03,0.36,5.97,31.05,7.93,,0.94,*****,31.15,10.41,4.59,2.37
4,2022/11/4,148.34,165.77,144.63,107.92,146.44,13.26,19.43,14.02,93.22,85.44,8.06,393.37,*****,20.22,18.89,1.8,*****,2.52,104.35,*****,3.91,477.59,39.47,40.39,7.55,43.39,0.36,5.92,30.85,7.97,,0.95,*****,31.28,10.39,4.6,2.39
5,2022/11/7,147.07,166.65,146.06,108.75,147.54,13.45,19.62,14.28,94.62,86.62,8.15,390.21,*****,20.33,18.73,1.8,*****,2.52,104.48,*****,3.92,474.88,39.15,40.05,7.52,43.02,0.36,5.98,31.12,7.9,,0.93,*****,31.01,10.44,4.59,2.38
6,2022/11/8,146.57,169.1,146.94,108.69,148.29,13.52,19.75,14.35,95.04,87.15,8.27,388.68,*****,20.29,18.67,1.79,*****,2.51,104.66,*****,3.92,473.57,39.01,39.91,7.54,42.87,0.37,6.07,31.48,7.94,,0.93,*****,30.95,10.57,4.59,2.36
7,2022/11/9,145.81,168.15,146.68,108.51,147.79,13.53,19.72,14.23,94.82,86.84,8.22,386.87,*****,20.13,18.57,1.79,*****,2.51,104.19,*****,3.95,471.72,38.79,39.7,7.46,42.5,0.37,6.04,31.29,7.85,,0.93,*****,30.83,10.6,4.58,2.4
8,2022/11/10,146.42,166.51,146.67,108.19,148.8,13.46,19.72,14.11,94.12,86.2,8.25,388.28,*****,20.15,18.65,1.8,*****,2.52,104.46,*****,3.98,473.54,38.95,39.87,7.49,42.83,0.37,6.04,31.14,7.87,,0.94,*****,31.14,10.73,4.6,2.38
9,2022/11/11,141.95,165.61,144.49,106.41,146.96,13.37,19.43,14.03,93.62,85.18,8.16,376.63,*****,19.81,18.1,1.76,*****,2.48,102.63,*****,3.93,461.18,37.77,38.65,7.35,41.52,0.36,5.95,30.84,7.66,,0.9,*****,30.59,10.54,4.51,2.35
10,2022/11/14,139.67,164.7,144.25,105.3,147.83,13.42,19.39,14.06,93.48,85.27,8.08,370.38,*****,19.7,17.82,1.74,*****,2.44,101.65,*****,3.89,453.62,37.16,38.03,7.16,40.71,0.36,5.95,30.86,7.5,,0.9,*****,30.28,10.64,4.49,2.3
11,2022/11/15,140.44,164.99,144.79,105.38,148.72,13.37,19.47,13.97,93.95,85.54,8.11,372.62,*****,19.94,17.92,1.74,*****,2.46,102.32,*****,3.94,456.86,37.37,38.24,7.26,41.08,0.35,5.97,30.77,7.55,,0.91,*****,30.59,10.6,4.53,2.3
12,2022/11/16,139.58,165.35,144.37,104.99,147.8,13.28,19.41,13.92,94.12,85.63,8.03,370.14,*****,19.78,17.84,1.72,*****,2.44,101.76,*****,3.92,453.48,37.16,38.01,7.2,40.69,0.35,5.94,30.18,7.51,,0.9,*****,30.78,10.54,4.49,2.28
13,2022/11/17,139.5,166.06,144.84,104.61,147.63,13.3,19.48,13.94,93.95,85.6,8.08,369.93,*****,19.63,17.83,1.72,*****,2.43,101.8,*****,3.9,453.22,37.13,37.98,7.22,40.8,0.35,5.95,30.81,7.49,,0.89,*****,30.71,10.45,4.49,2.31
14,2022/11/18,140.31,166.91,145.5,105.38,147.42,13.24,19.56,13.88,93.98,86.12,8.08,372.27,*****,19.63,17.93,1.72,*****,2.44,102.21,*****,3.92,456.14,37.34,38.2,7.24,41.04,0.35,5.97,30.94,7.55,,0.9,*****,30.84,10.47,4.52,2.31
15,2022/11/21,140.38,166.6,144.82,104.82,147.1,13.19,19.47,13.74,93.42,86.25,8.12,372.26,*****,19.66,17.95,1.72,*****,2.46,102.09,*****,3.91,455.63,37.36,38.22,7.21,40.92,0.36,5.95,30.81,7.55,,0.89,*****,30.68,10.42,4.51,2.33
16,2022/11/22,142.12,168.37,145.72,105.78,148.37,13.29,19.59,13.86,94.03,86.84,8.21,377.08,*****,19.82,18.22,1.74,*****,2.48,102.95,*****,3.92,461.28,37.83,38.7,7.27,41.57,0.36,5.98,31.01,7.64,,0.9,*****,31.06,10.46,4.55,2.35
17,2022/11/24,139.28,168.04,144.98,104.31,147.93,13.33,19.5,14.0,93.85,86.98,8.2,369.35,*****,19.46,17.81,1.71,*****,2.46,101.21,*****,3.87,452.8,37.08,37.92,7.2,40.74,0.35,5.95,30.83,7.49,,0.89,*****,30.61,10.41,4.48,2.31
18,2022/11/25,139.11,168.41,144.67,104.23,147.25,13.36,19.46,14.03,93.93,87.0,8.16,368.89,*****,19.39,17.81,1.71,*****,2.46,101.09,*****,3.89,452.24,37.03,37.88,7.18,40.69,0.35,5.94,30.83,7.48,,0.89,*****,31.08,10.44,4.5,2.29
